Course Id,Course Name,Start Date,End Date,School Id,Teacher Id,Subjects
37,Accounting,2014-12-22,2017-12-22,37,553,Accounting
38,Accounting,2014-12-22,2017-12-22,38,575,Accounting
39,Accounting,2014-12-22,2017-12-22,39,587,Accounting
40,Accounting,2014-12-22,2017-12-22,40,601,Accounting
41,Accounting,2014-12-22,2017-12-22,41,625,Accounting
42,Accounting,2014-12-22,2017-12-22,42,639,Accounting
43,Accounting,2014-12-22,2017-12-22,43,641,Accounting
44,Accounting,2014-12-22,2017-12-22,44,651,Accounting
45,Accounting,2014-12-22,2017-12-22,45,661,Accounting
46,Accounting,2014-12-22,2017-12-22,46,683,Accounting
47,Accounting,2014-12-22,2017-12-22,47,709,Accounting
48,Accounting,2014-12-22,2017-12-22,48,723,Accounting
49,Accounting,2014-12-22,2017-12-22,49,743,Accounting
50,Accounting,2014-12-22,2017-12-22,50,761,Accounting
51,Accounting,2014-12-22,2017-12-22,51,769,Accounting
52,Accounting,2014-12-22,2017-12-22,52,789,Accounting
53,Accounting,2014-12-22,2017-12-22,53,800,Accounting
54,Accounting,2014-12-22,2017-12-22,54,815,Accounting
55,Accounting,2014-12-22,2017-12-22,55,819,Accounting
56,Accounting,2014-12-22,2017-12-22,56,837,Accounting
57,Accounting,2014-12-22,2017-12-22,57,859,Accounting
58,Accounting,2014-12-22,2017-12-22,58,865,Accounting
59,Accounting,2014-12-22,2017-12-22,59,891,Accounting
60,Accounting,2014-12-22,2017-12-22,60,911,Accounting
61,Accounting,2014-12-22,2017-12-22,61,925,Accounting
62,Accounting,2014-12-22,2017-12-22,62,931,Accounting
63,Accounting,2014-12-22,2017-12-22,63,955,Accounting
64,Accounting,2014-12-22,2017-12-22,64,959,Accounting
65,Accounting,2014-12-22,2017-12-22,65,971,Accounting
66,Accounting,2014-12-22,2017-12-22,66,981,Accounting
67,Accounting,2014-12-22,2017-12-22,67,1007,Accounting
68,Accounting,2014-12-22,2017-12-22,68,1027,Accounting
69,Accounting,2014-12-22,2017-12-22,69,1037,Accounting
70,Accounting,2014-12-22,2017-12-22,70,1059,Accounting
71,Accounting,2014-12-22,2017-12-22,71,1073,Accounting
72,Accounting,2014-12-22,2017-12-22,72,1087,Accounting
73,Accounting,2014-12-22,2017-12-22,73,1099,Accounting
74,Accounting,2014-12-22,2017-12-22,74,1119,Accounting
75,Accounting,2014-12-22,2017-12-22,75,1129,Accounting
76,Accounting,2014-12-22,2017-12-22,76,1135,Accounting
77,Accounting,2014-12-22,2017-12-22,77,1147,Accounting
78,Accounting,2014-12-22,2017-12-22,78,1163,Accounting
79,Accounting,2014-12-22,2017-12-22,79,1189,Accounting
80,Accounting,2014-12-22,2017-12-22,80,1195,Accounting
81,Accounting,2014-12-22,2017-12-22,81,1227,Accounting
82,Accounting,2014-12-22,2017-12-22,82,1239,Accounting
83,Accounting,2014-12-22,2017-12-22,83,1249,Accounting
84,Accounting,2014-12-22,2017-12-22,84,1263,Accounting
85,Accounting,2014-12-22,2017-12-22,85,1275,Accounting
86,Accounting,2014-12-22,2017-12-22,86,1299,Accounting
87,Accounting,2014-12-22,2017-12-22,87,1301,Accounting
88,Accounting,2014-12-22,2017-12-22,88,1313,Accounting
89,Accounting,2014-12-22,2017-12-22,89,1325,Accounting
90,Accounting,2014-12-22,2017-12-22,90,1357,Accounting
91,Accounting,2014-12-22,2017-12-22,91,1361,Accounting
92,Accounting,2014-12-22,2017-12-22,92,1393,Accounting
93,Accounting,2014-12-22,2017-12-22,93,1403,Accounting
94,Accounting,2014-12-22,2017-12-22,94,1421,Accounting
95,Accounting,2014-12-22,2017-12-22,95,1433,Accounting
96,Accounting,2014-12-22,2017-12-22,96,1441,Accounting
97,Accounting,2014-12-22,2017-12-22,97,1461,Accounting
98,Accounting,2014-12-22,2017-12-22,98,1474,Accounting
99,Accounting,2014-12-22,2017-12-22,99,1481,Accounting
100,Accounting,2014-12-22,2017-12-22,100,1487,Accounting
101,Accounting,2014-12-22,2017-12-22,101,1523,Accounting
102,MBA,2014-12-22,2016-12-22,1,5,"Accounting,Administration,Applied Business"
103,MBA,2014-12-22,2016-12-22,2,37,"Accounting,Administration,Applied Business"
104,MBA,2014-12-22,2016-12-22,3,47,"Accounting,Administration,Applied Business"
105,MBA,2014-12-22,2016-12-22,4,71,"Accounting,Administration,Applied Business"
106,MBA,2014-12-22,2016-12-22,5,81,"Accounting,Administration,Applied Business"
107,MBA,2014-12-22,2016-12-22,6,95,"Accounting,Administration,Applied Business"
108,MBA,2014-12-22,2016-12-22,7,107,"Accounting,Administration,Applied Business"
109,MBA,2014-12-22,2016-12-22,8,127,"Accounting,Administration,Applied Business"
110,MBA,2014-12-22,2016-12-22,9,9,"Accounting,Administration,Applied Business"
111,MBA,2014-12-22,2016-12-22,10,151,"Accounting,Administration,Applied Business"
112,MBA,2014-12-22,2016-12-22,11,159,"Accounting,Administration,Applied Business"
113,MBA,2014-12-22,2016-12-22,12,185,"Accounting,Administration,Applied Business"
114,MBA,2014-12-22,2016-12-22,13,189,"Accounting,Administration,Applied Business"
115,MBA,2014-12-22,2016-12-22,14,213,"Accounting,Administration,Applied Business"
116,MBA,2014-12-22,2016-12-22,15,225,"Accounting,Administration,Applied Business"
117,MBA,2014-12-22,2016-12-22,16,245,"Accounting,Administration,Applied Business"
118,MBA,2014-12-22,2016-12-22,17,269,"Accounting,Administration,Applied Business"
119,MBA,2014-12-22,2016-12-22,18,281,"Accounting,Administration,Applied Business"
120,MBA,2014-12-22,2016-12-22,19,293,"Accounting,Administration,Applied Business"
121,MBA,2014-12-22,2016-12-22,20,307,"Accounting,Administration,Applied Business"
122,MBA,2014-12-22,2016-12-22,21,319,"Accounting,Administration,Applied Business"
123,MBA,2014-12-22,2016-12-22,22,329,"Accounting,Administration,Applied Business"
124,MBA,2014-12-22,2016-12-22,23,333,"Accounting,Administration,Applied Business"
125,MBA,2014-12-22,2016-12-22,24,355,"Accounting,Administration,Applied Business"
126,MBA,2014-12-22,2016-12-22,25,377,"Accounting,Administration,Applied Business"
127,MBA,2014-12-22,2016-12-22,26,401,"Accounting,Administration,Applied Business"
128,MBA,2014-12-22,2016-12-22,27,411,"Accounting,Administration,Applied Business"
129,MBA,2014-12-22,2016-12-22,28,433,"Accounting,Administration,Applied Business"
130,MBA,2014-12-22,2016-12-22,29,437,"Accounting,Administration,Applied Business"
131,MBA,2014-12-22,2016-12-22,30,461,"Accounting,Administration,Applied Business"
132,MBA,2014-12-22,2016-12-22,31,463,"Accounting,Administration,Applied Business"
133,MBA,2014-12-22,2016-12-22,32,485,"Accounting,Administration,Applied Business"
134,MBA,2014-12-22,2016-12-22,33,495,"Accounting,Administration,Applied Business"
135,MBA,2014-12-22,2016-12-22,34,509,"Accounting,Administration,Applied Business"
136,MBA,2014-12-22,2016-12-22,35,531,"Accounting,Administration,Applied Business"
137,MBA,2014-12-22,2016-12-22,36,541,"Accounting,Administration,Applied Business"
138,MBA,2014-12-22,2016-12-22,37,563,"Accounting,Administration,Applied Business"
139,MBA,2014-12-22,2016-12-22,38,581,"Accounting,Administration,Applied Business"
140,MBA,2014-12-22,2016-12-22,39,593,"Accounting,Administration,Applied Business"
141,MBA,2014-12-22,2016-12-22,40,603,"Accounting,Administration,Applied Business"
142,MBA,2014-12-22,2016-12-22,41,625,"Accounting,Administration,Applied Business"
143,MBA,2014-12-22,2016-12-22,42,637,"Accounting,Administration,Applied Business"
144,MBA,2014-12-22,2016-12-22,43,643,"Accounting,Administration,Applied Business"
145,MBA,2014-12-22,2016-12-22,44,655,"Accounting,Administration,Applied Business"
146,MBA,2014-12-22,2016-12-22,45,671,"Accounting,Administration,Applied Business"
147,MBA,2014-12-22,2016-12-22,46,693,"Accounting,Administration,Applied Business"
148,MBA,2014-12-22,2016-12-22,47,709,"Accounting,Administration,Applied Business"
149,MBA,2014-12-22,2016-12-22,48,733,"Accounting,Administration,Applied Business"
150,MBA,2014-12-22,2016-12-22,49,749,"Accounting,Administration,Applied Business"
151,MBA,2014-12-22,2016-12-22,50,759,"Accounting,Administration,Applied Business"
152,MBA,2014-12-22,2016-12-22,51,773,"Accounting,Administration,Applied Business"
153,MBA,2014-12-22,2016-12-22,52,783,"Accounting,Administration,Applied Business"
154,MBA,2014-12-22,2016-12-22,53,796,"Accounting,Administration,Applied Business"
155,MBA,2014-12-22,2016-12-22,54,807,"Accounting,Administration,Applied Business"
156,MBA,2014-12-22,2016-12-22,55,817,"Accounting,Administration,Applied Business"
157,MBA,2014-12-22,2016-12-22,56,841,"Accounting,Administration,Applied Business"
158,MBA,2014-12-22,2016-12-22,57,859,"Accounting,Administration,Applied Business"
159,MBA,2014-12-22,2016-12-22,58,879,"Accounting,Administration,Applied Business"
160,MBA,2014-12-22,2016-12-22,59,889,"Accounting,Administration,Applied Business"
161,MBA,2014-12-22,2016-12-22,60,903,"Accounting,Administration,Applied Business"
162,MBA,2014-12-22,2016-12-22,61,923,"Accounting,Administration,Applied Business"
163,MBA,2014-12-22,2016-12-22,62,943,"Accounting,Administration,Applied Business"
164,MBA,2014-12-22,2016-12-22,63,945,"Accounting,Administration,Applied Business"
165,MBA,2014-12-22,2016-12-22,64,969,"Accounting,Administration,Applied Business"
166,MBA,2014-12-22,2016-12-22,65,975,"Accounting,Administration,Applied Business"
167,MBA,2014-12-22,2016-12-22,66,981,"Accounting,Administration,Applied Business"
168,MBA,2014-12-22,2016-12-22,67,1003,"Accounting,Administration,Applied Business"
169,MBA,2014-12-22,2016-12-22,68,1019,"Accounting,Administration,Applied Business"
170,MBA,2014-12-22,2016-12-22,69,1031,"Accounting,Administration,Applied Business"
171,MBA,2014-12-22,2016-12-22,70,1057,"Accounting,Administration,Applied Business"
172,MBA,2014-12-22,2016-12-22,71,1079,"Accounting,Administration,Applied Business"
173,MBA,2014-12-22,2016-12-22,72,1091,"Accounting,Administration,Applied Business"
174,MBA,2014-12-22,2016-12-22,73,1099,"Accounting,Administration,Applied Business"
175,MBA,2014-12-22,2016-12-22,74,1111,"Accounting,Administration,Applied Business"
176,MBA,2014-12-22,2016-12-22,75,1127,"Accounting,Administration,Applied Business"
177,MBA,2014-12-22,2016-12-22,76,1145,"Accounting,Administration,Applied Business"
178,MBA,2014-12-22,2016-12-22,77,1151,"Accounting,Administration,Applied Business"
179,MBA,2014-12-22,2016-12-22,78,1173,"Accounting,Administration,Applied Business"
180,MBA,2014-12-22,2016-12-22,79,1177,"Accounting,Administration,Applied Business"
181,MBA,2014-12-22,2016-12-22,80,1205,"Accounting,Administration,Applied Business"
182,MBA,2014-12-22,2016-12-22,81,1215,"Accounting,Administration,Applied Business"
183,MBA,2014-12-22,2016-12-22,82,1241,"Accounting,Administration,Applied Business"
184,MBA,2014-12-22,2016-12-22,83,1255,"Accounting,Administration,Applied Business"
185,MBA,2014-12-22,2016-12-22,84,1273,"Accounting,Administration,Applied Business"
186,MBA,2014-12-22,2016-12-22,85,1287,"Accounting,Administration,Applied Business"
187,MBA,2014-12-22,2016-12-22,86,1293,"Accounting,Administration,Applied Business"
188,MBA,2014-12-22,2016-12-22,87,1305,"Accounting,Administration,Applied Business"
189,MBA,2014-12-22,2016-12-22,88,1311,"Accounting,Administration,Applied Business"
190,MBA,2014-12-22,2016-12-22,89,1335,"Accounting,Administration,Applied Business"
191,MBA,2014-12-22,2016-12-22,90,1345,"Accounting,Administration,Applied Business"
192,MBA,2014-12-22,2016-12-22,91,1365,"Accounting,Administration,Applied Business"
193,MBA,2014-12-22,2016-12-22,92,1379,"Accounting,Administration,Applied Business"
194,MBA,2014-12-22,2016-12-22,93,1399,"Accounting,Administration,Applied Business"
195,MBA,2014-12-22,2016-12-22,94,1411,"Accounting,Administration,Applied Business"
196,MBA,2014-12-22,2016-12-22,95,1435,"Accounting,Administration,Applied Business"
197,MBA,2014-12-22,2016-12-22,96,1441,"Accounting,Administration,Applied Business"
198,MBA,2014-12-22,2016-12-22,97,1457,"Accounting,Administration,Applied Business"
199,MBA,2014-12-22,2016-12-22,98,1474,"Accounting,Administration,Applied Business"
200,MBA,2014-12-22,2016-12-22,99,1477,"Accounting,Administration,Applied Business"
201,MBA,2014-12-22,2016-12-22,100,1499,"Accounting,Administration,Applied Business"
202,MBA,2014-12-22,2016-12-22,101,1515,"Accounting,Administration,Applied Business"
203,MCA,2014-12-22,2017-12-22,1,1,"Accounting,Computer Science"
204,MCA,2014-12-22,2017-12-22,2,23,"Accounting,Computer Science"
205,MCA,2014-12-22,2017-12-22,3,57,"Accounting,Computer Science"
206,MCA,2014-12-22,2017-12-22,4,59,"Accounting,Computer Science"
207,MCA,2014-12-22,2017-12-22,5,87,"Accounting,Computer Science"
208,MCA,2014-12-22,2017-12-22,6,103,"Accounting,Computer Science"
209,MCA,2014-12-22,2017-12-22,7,117,"Accounting,Computer Science"
210,MCA,2014-12-22,2017-12-22,8,131,"Accounting,Computer Science"
211,MCA,2014-12-22,2017-12-22,9,9,"Accounting,Computer Science"
212,MCA,2014-12-22,2017-12-22,10,147,"Accounting,Computer Science"
213,MCA,2014-12-22,2017-12-22,11,157,"Accounting,Computer Science"
214,MCA,2014-12-22,2017-12-22,12,179,"Accounting,Computer Science"
215,MCA,2014-12-22,2017-12-22,13,199,"Accounting,Computer Science"
216,MCA,2014-12-22,2017-12-22,14,217,"Accounting,Computer Science"
217,MCA,2014-12-22,2017-12-22,15,235,"Accounting,Computer Science"
218,MCA,2014-12-22,2017-12-22,16,249,"Accounting,Computer Science"
219,MCA,2014-12-22,2017-12-22,17,257,"Accounting,Computer Science"
220,MCA,2014-12-22,2017-12-22,18,275,"Accounting,Computer Science"
221,MCA,2014-12-22,2017-12-22,19,287,"Accounting,Computer Science"
222,MCA,2014-12-22,2017-12-22,20,303,"Accounting,Computer Science"
223,MCA,2014-12-22,2017-12-22,21,319,"Accounting,Computer Science"
224,MCA,2014-12-22,2017-12-22,22,321,"Accounting,Computer Science"
225,MCA,2014-12-22,2017-12-22,23,343,"Accounting,Computer Science"
226,MCA,2014-12-22,2017-12-22,24,365,"Accounting,Computer Science"
227,MCA,2014-12-22,2017-12-22,25,387,"Accounting,Computer Science"
228,MCA,2014-12-22,2017-12-22,26,393,"Accounting,Computer Science"
229,MCA,2014-12-22,2017-12-22,27,405,"Accounting,Computer Science"
230,MCA,2014-12-22,2017-12-22,28,427,"Accounting,Computer Science"
231,MCA,2014-12-22,2017-12-22,29,449,"Accounting,Computer Science"
232,MCA,2014-12-22,2017-12-22,30,451,"Accounting,Computer Science"
233,MCA,2014-12-22,2017-12-22,31,473,"Accounting,Computer Science"
234,MCA,2014-12-22,2017-12-22,32,483,"Accounting,Computer Science"
235,MCA,2014-12-22,2017-12-22,33,487,"Accounting,Computer Science"
236,MCA,2014-12-22,2017-12-22,34,511,"Accounting,Computer Science"
237,MCA,2014-12-22,2017-12-22,35,517,"Accounting,Computer Science"
238,MCA,2014-12-22,2017-12-22,36,541,"Accounting,Computer Science"
239,MCA,2014-12-22,2017-12-22,37,553,"Accounting,Computer Science"
240,MCA,2014-12-22,2017-12-22,38,579,"Accounting,Computer Science"
241,MCA,2014-12-22,2017-12-22,39,591,"Accounting,Computer Science"
242,MCA,2014-12-22,2017-12-22,40,613,"Accounting,Computer Science"
243,MCA,2014-12-22,2017-12-22,41,627,"Accounting,Computer Science"
244,MCA,2014-12-22,2017-12-22,42,631,"Accounting,Computer Science"
245,MCA,2014-12-22,2017-12-22,43,641,"Accounting,Computer Science"
246,MCA,2014-12-22,2017-12-22,44,655,"Accounting,Computer Science"
247,MCA,2014-12-22,2017-12-22,45,675,"Accounting,Computer Science"
248,MCA,2014-12-22,2017-12-22,46,683,"Accounting,Computer Science"
249,MCA,2014-12-22,2017-12-22,47,703,"Accounting,Computer Science"
250,MCA,2014-12-22,2017-12-22,48,733,"Accounting,Computer Science"
251,MCA,2014-12-22,2017-12-22,49,735,"Accounting,Computer Science"
252,MCA,2014-12-22,2017-12-22,50,763,"Accounting,Computer Science"
253,MCA,2014-12-22,2017-12-22,51,771,"Accounting,Computer Science"
254,MCA,2014-12-22,2017-12-22,52,781,"Accounting,Computer Science"
255,MCA,2014-12-22,2017-12-22,53,802,"Accounting,Computer Science"
256,MCA,2014-12-22,2017-12-22,54,809,"Accounting,Computer Science"
257,MCA,2014-12-22,2017-12-22,55,821,"Accounting,Computer Science"
258,MCA,2014-12-22,2017-12-22,56,829,"Accounting,Computer Science"
259,MCA,2014-12-22,2017-12-22,57,863,"Accounting,Computer Science"
260,MCA,2014-12-22,2017-12-22,58,877,"Accounting,Computer Science"
261,MCA,2014-12-22,2017-12-22,59,899,"Accounting,Computer Science"
262,MCA,2014-12-22,2017-12-22,60,913,"Accounting,Computer Science"
263,MCA,2014-12-22,2017-12-22,61,923,"Accounting,Computer Science"
264,MCA,2014-12-22,2017-12-22,62,931,"Accounting,Computer Science"
265,MCA,2014-12-22,2017-12-22,63,949,"Accounting,Computer Science"
266,MCA,2014-12-22,2017-12-22,64,969,"Accounting,Computer Science"
267,MCA,2014-12-22,2017-12-22,65,971,"Accounting,Computer Science"
268,MCA,2014-12-22,2017-12-22,66,983,"Accounting,Computer Science"
269,MCA,2014-12-22,2017-12-22,67,995,"Accounting,Computer Science"
270,MCA,2014-12-22,2017-12-22,68,1029,"Accounting,Computer Science"
271,MCA,2014-12-22,2017-12-22,69,1041,"Accounting,Computer Science"
272,MCA,2014-12-22,2017-12-22,70,1049,"Accounting,Computer Science"
273,MCA,2014-12-22,2017-12-22,71,1067,"Accounting,Computer Science"
274,MCA,2014-12-22,2017-12-22,72,1093,"Accounting,Computer Science"
275,MCA,2014-12-22,2017-12-22,73,1105,"Accounting,Computer Science"
276,MCA,2014-12-22,2017-12-22,74,1113,"Accounting,Computer Science"
277,MCA,2014-12-22,2017-12-22,75,1131,"Accounting,Computer Science"
278,MCA,2014-12-22,2017-12-22,76,1139,"Accounting,Computer Science"
279,MCA,2014-12-22,2017-12-22,77,1153,"Accounting,Computer Science"
280,MCA,2014-12-22,2017-12-22,78,1159,"Accounting,Computer Science"
281,MCA,2014-12-22,2017-12-22,79,1189,"Accounting,Computer Science"
282,MCA,2014-12-22,2017-12-22,80,1199,"Accounting,Computer Science"
283,MCA,2014-12-22,2017-12-22,81,1225,"Accounting,Computer Science"
284,MCA,2014-12-22,2017-12-22,82,1237,"Accounting,Computer Science"
285,MCA,2014-12-22,2017-12-22,83,1253,"Accounting,Computer Science"
286,MCA,2014-12-22,2017-12-22,84,1261,"Accounting,Computer Science"
287,MCA,2014-12-22,2017-12-22,85,1279,"Accounting,Computer Science"
288,MCA,2014-12-22,2017-12-22,86,1289,"Accounting,Computer Science"
289,MCA,2014-12-22,2017-12-22,87,1303,"Accounting,Computer Science"
290,MCA,2014-12-22,2017-12-22,88,1315,"Accounting,Computer Science"
291,MCA,2014-12-22,2017-12-22,89,1323,"Accounting,Computer Science"
292,MCA,2014-12-22,2017-12-22,90,1357,"Accounting,Computer Science"
293,MCA,2014-12-22,2017-12-22,91,1375,"Accounting,Computer Science"
294,MCA,2014-12-22,2017-12-22,92,1381,"Accounting,Computer Science"
295,MCA,2014-12-22,2017-12-22,93,1401,"Accounting,Computer Science"
296,MCA,2014-12-22,2017-12-22,94,1421,"Accounting,Computer Science"
297,MCA,2014-12-22,2017-12-22,95,1435,"Accounting,Computer Science"
298,MCA,2014-12-22,2017-12-22,96,1445,"Accounting,Computer Science"
299,MCA,2014-12-22,2017-12-22,97,1463,"Accounting,Computer Science"
300,MCA,2014-12-22,2017-12-22,98,1468,"Accounting,Computer Science"
301,MCA,2014-12-22,2017-12-22,99,1483,"Accounting,Computer Science"
302,MCA,2014-12-22,2017-12-22,100,1489,"Accounting,Computer Science"
303,MCA,2014-12-22,2017-12-22,101,1521,"Accounting,Computer Science"
304,B.Ed,2014-12-22,2015-12-22,1,11,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
305,B.Ed,2014-12-22,2015-12-22,2,35,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
306,B.Ed,2014-12-22,2015-12-22,3,51,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
307,B.Ed,2014-12-22,2015-12-22,4,69,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
308,B.Ed,2014-12-22,2015-12-22,5,85,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
309,B.Ed,2014-12-22,2015-12-22,6,105,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
310,B.Ed,2014-12-22,2015-12-22,7,109,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
311,B.Ed,2014-12-22,2015-12-22,8,131,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
312,B.Ed,2014-12-22,2015-12-22,9,9,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
313,B.Ed,2014-12-22,2015-12-22,10,145,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
314,B.Ed,2014-12-22,2015-12-22,11,159,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
315,B.Ed,2014-12-22,2015-12-22,12,167,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
316,B.Ed,2014-12-22,2015-12-22,13,187,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
317,B.Ed,2014-12-22,2015-12-22,14,205,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
318,B.Ed,2014-12-22,2015-12-22,15,223,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
319,B.Ed,2014-12-22,2015-12-22,16,249,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
320,B.Ed,2014-12-22,2015-12-22,17,269,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
321,B.Ed,2014-12-22,2015-12-22,18,273,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
322,B.Ed,2014-12-22,2015-12-22,19,297,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
323,B.Ed,2014-12-22,2015-12-22,20,299,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
324,B.Ed,2014-12-22,2015-12-22,21,315,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
325,B.Ed,2014-12-22,2015-12-22,22,323,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
326,B.Ed,2014-12-22,2015-12-22,23,347,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
327,B.Ed,2014-12-22,2015-12-22,24,353,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
328,B.Ed,2014-12-22,2015-12-22,25,375,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
329,B.Ed,2014-12-22,2015-12-22,26,403,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
330,B.Ed,2014-12-22,2015-12-22,27,415,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
331,B.Ed,2014-12-22,2015-12-22,28,425,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
332,B.Ed,2014-12-22,2015-12-22,29,437,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
333,B.Ed,2014-12-22,2015-12-22,30,461,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
334,B.Ed,2014-12-22,2015-12-22,31,465,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
335,B.Ed,2014-12-22,2015-12-22,32,483,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
336,B.Ed,2014-12-22,2015-12-22,33,489,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
337,B.Ed,2014-12-22,2015-12-22,34,497,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
338,B.Ed,2014-12-22,2015-12-22,35,523,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
339,B.Ed,2014-12-22,2015-12-22,36,535,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
340,B.Ed,2014-12-22,2015-12-22,37,567,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
341,B.Ed,2014-12-22,2015-12-22,38,573,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
342,B.Ed,2014-12-22,2015-12-22,39,591,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
343,B.Ed,2014-12-22,2015-12-22,40,601,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
344,B.Ed,2014-12-22,2015-12-22,41,619,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
345,B.Ed,2014-12-22,2015-12-22,42,629,"Childcare and Development,Health and Food Technology,Health and Social Care,Humanities,Philosoph Physical Education"
